PubMed_ID,Title,Abstract,Label
40130009,Urinary based biomarkers identification and genetic profiling in Parkinson's disease: a systematic review of metabolomic studies.,"Parkinson's disease is a complex, age-related, neurodegenerative disease associated with dopamine deficiency and both motor and nonmotor deficits. Therapeutic pathways remain challenging in Parkinson's disease due to the low accuracy of early diagnosis, the difficulty in monitoring disease progression, and the limited availability of treatment options. Few data are present to identify urinary biomarkers for various ailments, potentially aiding in the diagnosis and tracking of illness progression in individuals with Parkinson's disease. Thus, the analysis of urinary metabolomic biomarkers (UMB) for early and mid-stage idiopathic Parkinson's disease (IPD) is the main goal of this systematic review. For this study, six electronic databases were searched for articles published up to 23 February 2024: PubMed, Ovid Medline, Embase, Scopus, Science Direct, and Cochrane. 5,377 articles were found and 40 articles were screened as per the eligibility criteria. Out of these, 7 controlled studies were selected for this review. Genetic profiling for gene function and biomarker interactions between urinary biomarkers was conducted using the STRING and Cytoscape database. A total of 40 metabolites were identified to be related to the early and mid-stage of the disease pathology out of which three metabolites, acetyl phenylalanine (a subtype of phenylalanine), tyrosine and kynurenine were common and most significant in three studies. These metabolites cause impaired dopamine synthesis along with mitochondrial disturbances and brain energy metabolic disturbances which are considered responsible for neurodegenerative disorders. Furoglycine, Cortisol, Hydroxyphenylacetic acid, Glycine, Tiglyglycine, Aminobutyric acid, Hydroxyprogesterone, Phenylacetylglutamine, and Dihydrocortisol were also found commonly dysregulated in two of the total 7 studies. 158 genes were found which are responsible for the occurrence of PD and metabolic regulation of the corresponding biomarkers from our study. The current review identified acetyl phenylalanine (a subtype of phenylalanine), tyrosine and kynurenine as potential urinary metabolomic biomarkers for diagnosing PD and identifying disease progression.",1
40129904,Visual processing capacity and cognitive decline in Parkinson's disease.,"Parkinson's disease (PD) is a progressive neurodegenerative disorder characterised by motor symptoms. However, approximately half of patients with PD exhibit signs of dementia within a decade of diagnosis. While deficits in working memory and visuospatial abilities are recognised as hallmarks of cognitive decline in PD, these populations are rarely studied using detailed cognitive tools that link cognitive impairments to formal theoretical models, such as the theory of visual attention (TVA). This cross-sectional study addresses this gap by employing the TVA whole report paradigm to assess visual processing in a cohort of patients with PD, both with and without cognitive impairment. Participants were divided based on their Montreal Cognitive Assessment (MoCA) scores into two PD groups (n=25 each) and a healthy control group (n=25). Our principal finding is that the visual processing speed (C) and visual short-term memory capacity (K) are significantly diminished in patients with PD with MoCA scores below 26 (Analysis of variance, p=0.016 for C and p<0.001 for K), while no notable differences were observed between controls and patients with PD with MoCA scores of 26 or above. Using a generalised linear model to assess the impact of factors such as age, gender and disease duration, we discovered that the C-parameter was significantly influenced by age, while the K TVA parameters demonstrate their suitability for detecting cognitive deficits in PD. Given their independence from motor and non-motor symptoms, TVA parameters may prove to be valuable tools for early diagnosis and longitudinal monitoring of cognitive deficits in individual patients with PD.",1
40129103,"Tremor in Pediatric Populations: Clinical Characteristics, Differential Diagnosis, and Management Challenges.","Tremor is a hyperkinetic movement disorder defined as a rhythmic, involuntary, oscillatory movement of a body part. It can present as early as in the neonatal period and may be an isolated finding or part of an associated neurological or systemic disorder. Although it is commonly seen in childhood, it is not frequently described in the literature. This review aims to provide a clinically useful overview of pediatric tremors based on the current literature. We identified relevant studies published in English by searching PubMed (until February 2024), using the following subject headings: pediatric/tremor, deep brain stimulation, and focused ultrasound. Data from 65 articles were critically reviewed with focus on tremor classification, etiologies, clinical features, and management. Some tremor disorders in children can persist into adulthood, however, others are exclusively seen in the pediatric population. The lack of epidemiological and clinical studies in the pediatric population creates substantial challenges for pediatricians, and medical decisions are mostly guided by adult data.",1
40128529,"Speech and language biomarkers for Parkinson's disease prediction, early diagnosis and progression.","Parkinson's disease (PD), a multifaceted neurodegenerative disorder, can manifest as an array of motor and non-motor symptoms. Among these, speech and language impairments are particularly prevalent, often preceding motor dysfunctions. Emerging research indicates that these impairments may serve as early disease indicators. In this narrative review, we synthesised current findings on the potential of speech and language symptoms in PD identification and progression monitoring. Our review highlights convergent, albeit preliminary, lines of evidence supporting the value of speech-related features in detecting early or prodromal PD, even across language groups, especially with sophisticated analytical techniques. Distinct speech patterns in PD subtypes and other neurological disorders may assist in differential diagnosis and inform targeted management efforts. These features also evolve over the disease course and could effectively be utilised for disease tracking and guide management plan modifications. Advances in digital voice processing allow cost-effective, remote and scalable monitoring for larger populations.",1
40125241,Cerebrospinal Fluid Biomarkers for Diagnosis of Parkinson's disease: A Systematic Review.,"Parkinson's disease (PD) is a neurodegenerative disorder that presents challenges in early diagnosis, particularly in its prodromal stages. PD is characterized by motor and non-motor symptoms, and it remains challenging to diagnose in its early stages. The use of cerebrospinal fluid (CSF) biomarkers has shown promise as an adjunctive tool for early detection and monitoring of disease progression. The aim of this systematic review was to evaluate the diagnostic potential of CSF biomarkers in PD. We focused on assessing the reliability, sensitivity, specificity, and utility of various CSF biomarkers for the early and accurate diagnosis of PD. A comprehensive search was conducted across multiple databases, including PubMed, Scopus, and Web of Science, to identify relevant studies published from January 2015 to November 2024. Studies were included if they examined CSF biomarkers in human PD patients, and compared to healthy controls or other neurodegenerative diseases. Data on sample size, biomarker types, and diagnostic accuracy were extracted from 34 eligible studies. The methodological quality of the studies was assessed using standard tools, and a qualitative synthesis was performed using PRISMA tools. Analysis was done to assess the diagnostic performance of selected biomarkers. The review identified several promising CSF biomarkers, including α-synuclein, neurofilament light chain (NfL), DJ-1, tau, and exosomal biomarkers. Of these, α-synuclein demonstrated the highest diagnostic accuracy with a sensitivity of 70-85% and specificity of 75-90%. NfL also showed a strong sensitivity (65-85%) for detecting neuronal injury, while DJ-1 exhibited a high specificity for early-stage PD. Multi-biomarker panels, including combinations of α-synuclein, tau, and NfL, demonstrated superior diagnostic accuracy compared to individual biomarkers. The variability in the biomarkers' performance was noted across studies, indicating the need for standardization in biomarker assays and further validation through larger, multicenter studies. CSF biomarkers hold significant promise for improving the diagnosis of PD, particularly when used in combination. However, more research is needed to establish standardized protocols and evaluate their role in clinical practice. Multi-biomarker panels show potential as a diagnostic tool, but further investigation is required to confirm their clinical utility and cost-effectiveness in diverse populations. Future studies should focus on the longitudinal tracking of these biomarkers for monitoring disease progression and therapeutic response.",1
40125225,Cortical Ribboning as a Key MRI Finding in Wernicke's Encephalopathy With Altered Mental Status.,"Wernicke's encephalopathy (WE) is associated with thiamine (vitamin B1) deficiency and may lead to mental status changes, ophthalmoplegia, and ataxia. While treatment is simple, delayed diagnosis can have serious consequences, making early detection essential. However, the complete triad of symptoms is rarely seen. When mental status changes occur, physical examination may be limited, making WE harder to identify without other characteristic signs. Furthermore, measuring blood thiamine levels is not always immediately possible, adding to the challenge of diagnosis. We encountered a case of WE presenting with mental status changes, where cortical ribboning appeared as a significant MRI finding. A 77-year-old male had experienced slowness of movement for approximately one year and was diagnosed with multiple system atrophy (MSA). He had difficulty eating; thus, he preferred soft rice porridge. He developed acute mental status changes, and a brain MRI revealed prominent cortical ribboning in both frontal cortices along with subtle medial thalami. The patient received intravenous thiamine, leading to dramatic recovery of mental status, and subsequent MRI follow-up showed near-complete resolution of both cortical and thalamic lesions. Cortical ribboning, which played a key role in this patient, is recognized as an atypical MRI finding of thiamine deficiency and is suggested to be associated with altered mental status in WE. However, to the best of our knowledge, no literature clearly lists thiamine deficiency as a differential diagnosis for cortical ribboning in patients with mental status changes. Recognizing this key imaging finding is crucial in differentiating WE in patients with mental status changes. Preventing the potentially fatal outcome of WE is of paramount importance. Patients with dysphagia tend to prefer soft foods, which may result in reduced thiamine intake. Our experience reaffirms the importance of a well-balanced diet in MSA patients with dysphagia.",1
40124351,The role of nuclear medicine in neurodegenerative diseases: a narrative review.,"Neurodegenerative diseases, such as Alzheimer's, Parkinson's, and Lewy body dementia, are associated with the accumulation of brain proteins, leading to neuroinflammation, disruption of cellular clearance mechanisms, and neuronal death. Nuclear medicine, utilizing technologies like PET and SPECT, plays a crucial role in diagnosing and managing these disorders. Recent advancements in nuclear medicine have enhanced the understanding of disease pathophysiology and facilitated the development of tailored therapeutics. This study aims to address gaps in understanding nuclear medicine's potential to improve early diagnosis, monitor disease progression, and evaluate therapeutic effectiveness. In this review, we analyzed 28 papers and summarized their findings. PET radioligands have revolutionized the in vivo measurement of pathological targets in neurological diseases, offering new insights into the pathophysiology of neurodegenerative conditions. Amyloid PET has emerged as a reliable diagnostic imaging tool, accurately identifying cerebral amyloid-beta accumulation and enabling early differential diagnosis in clinical settings. Furthermore, radiopharmaceuticals such as [18F]Flortaucipir, [18F]FDOPA, and TSPO ligands provide significant advancements in the diagnosis and treatment of neurodegenerative disorders.",1
40122396,Fluid-based biomarkers for neurodegenerative diseases.,"Neurodegenerative diseases, such as Alzheimer's Disease (AD), Multiple Sclerosis (MS), Parkinson's Disease (PD), and Amyotrophic Lateral Sclerosis (ALS) are increasingly prevalent as global populations age. Fluid biomarkers, derived from cerebrospinal fluid (CSF), blood, saliva, urine, and exosomes, offer a promising solution for early diagnosis, prognosis, and disease monitoring. These biomarkers can reflect critical pathological processes like amyloid-beta (Aβ) deposition, tau protein hyperphosphorylation, α-syn misfolding, TDP-43 mislocalization and aggregation, and neuronal damage, enabling detection long before clinical symptoms emerge. Recent advances in blood-based biomarkers, particularly plasma Aβ, phosphorylated tau, and TDP-43, have shown diagnostic accuracy equivalent to CSF biomarkers, offering more accessible testing options. This review discusses the current challenges in fluid biomarker research, including variability, standardization, and sensitivity issues, and explores how combining multiple biomarkers with clinical symptoms improves diagnostic reliability. Ethical considerations, future directions involving extracellular vehicles (EVs), and the integration of artificial intelligence (AI) are also highlighted. Continued research efforts will be key to overcoming these obstacles, enabling fluid biomarkers to become crucial tools in personalized medicine for neurodegenerative diseases.",1
40120712,Transforming neurodegenerative disorder care with machine learning: Strategies and applications.,"Neurodegenerative diseases (NDs), characterized by progressive neuronal degeneration and manifesting in diverse forms such as memory loss and movement disorders, pose significant challenges due to their complex molecular mechanisms and heterogeneous patient presentations. Diagnosis often relies heavily on clinical assessments and neuroimaging, with definitive confirmation frequently requiring post-mortem autopsy. However, the emergence of Artificial Intelligence (AI) and Machine Learning (ML) offers a transformative potential. These technologies can enable the development of non-invasive tools for early diagnosis, biomarker identification, personalized treatment strategies, patient subtyping and stratification, and disease risk prediction. This review aims to provide a starting point for researchers, both with and without clinical backgrounds, who are interested in applying ML to NDs. We will discuss available data resources for key diseases like Alzheimer's and Parkinson's, explore how ML can revolutionize neurodegenerative care, and emphasize the importance of integrating multiple high-dimensional data sources to gain deeper insights and inform effective therapeutic strategies.",1
40120616,"Safety and efficacy of long-term gantenerumab treatment in dominantly inherited Alzheimer's disease: an open-label extension of the phase 2/3 multicentre, randomised, double-blind, placebo-controlled platform DIAN-TU trial.","Amyloid plaque removal by monoclonal antibody therapies slows clinical progression in symptomatic Alzheimer's disease; however, the potential for delaying the onset of clinical symptoms in asymptomatic people is unknown. The Dominantly Inherited Alzheimer Network Trials Unit (DIAN-TU) is an ongoing platform trial assessing the safety and efficacy of multiple investigational products in participants with dominantly inherited Alzheimer's disease (DIAD). Based on findings of amyloid removal and downstream biological effects from the gantenerumab group of the platform trial, we continued a 3-year open-label extension (OLE) study to assess the safety and efficacy of long-term treatment with high doses of gantenerumab. The randomised, placebo-controlled, double-blind, phase 2/3 multi-arm trial (DIAN-TU-001) assessed solanezumab or gantenerumab versus placebo in participants who were between 15 years before and 10 years after their estimated years to symptom onset and who had a Clinical Dementia Rating (CDR) global score of 0 (cognitively normal) to 1 (mild dementia). This study was followed by an OLE study of gantenerumab treatment, conducted at 18 study sites in Australia, Canada, France, Ireland, Puerto Rico, Spain, the UK, and the USA. For inclusion in the OLE, participants at risk for DIAD had participated in the double-blind period of DIAN-TU-001 and were required to know their mutation status. We investigated increasing doses of subcutaneous gantenerumab up to 1500 mg every 2 weeks. Due to the lack of a regulatory path for gantenerumab, the study was stopped early after a prespecified interim analysis (when most participants had completed 2 years of treatment) of the clinical measure CDR-Sum of Boxes (CDR-SB). The primary outcome for the final analysis was the amyloid plaque measure  Of 74 participants who were recruited into the OLE study between June 3, 2020, and April 22, 2021, 73 were enrolled and received gantenerumab treatment. 47 (64%) stopped dosing due to early termination of the study by the sponsor, and 13 (18%) prematurely discontinued the study for other reasons; 13 people completed 3 years of treatment. The mITT group for the primary analysis comprised 55 participants. At the interim analysis, the hazard ratio for clinical decline of CDR-SB in asymptomatic mutation carriers was 0·79 (n=53 [95% CI 0·47 to 1·32]) for participants who were treated with gantenerumab in either the double-blind or OLE period (Any Gant), and 0·53 (n=22 [0·27 to 1·03]) for participants who were treated with gantenerumab the longest (Longest Gant). At the final analysis, the adjusted mean change from OLE baseline to year 3 in PiB-PET SUVR was -0·71 SUVR (95% CI -0·88 to -0·53, p<0·0001). Amyloid-related imaging abnormalities occurred in 53% (39 of 73) of participants: 47% (34 of 73) with microhaemorrhages, 30% (22 of 73) with oedema, and 6% (five of 73) were associated with superficial siderosis. No treatment-associated macrohaemorrhages or deaths occurred. Partial or short-term amyloid removal did not show significant clinical effects. However, long-term full amyloid removal potentially delayed symptom onset and dementia progression. Our conclusions are limited due to the OLE design and use of external controls and need to be confirmed in long-term trials. National Institute on Aging, Alzheimer's Association, GHR Foundation, and F Hoffmann-La Roche/Genentech.",1
